disease,symptom
Sickle cell anemia,Swelling of hands and feet. The swelling is caused by sickle-shaped red blood cells blocking blood flow to the hands and feet.
Sickle cell anemia,"Frequent infections. Sickle cells can damage your spleen, leaving you more vulnerable to infections. Doctors commonly give infants and children with sickle cell anemia vaccinations and antibiotics to prevent potentially life-threatening infections, such as pneumonia."
Sickle cell anemia,Delayed growth or puberty. Red blood cells provide your body with the oxygen and nutrients needed for growth. A shortage of healthy red blood cells can slow growth in infants and children and delay puberty in teenagers.
Sickle cell anemia,Vision problems. Tiny blood vessels that supply your eyes can become plugged with sickle cells. This can damage the retina — the portion of the eye that processes visual images — and lead to vision problems.
Brain aneurysm,"Sudden, extremely severe headache"
Brain aneurysm,Nausea and vomiting
Brain aneurysm,Stiff neck
Brain aneurysm,Blurred or double vision
Brain aneurysm,Sensitivity to light
Brain aneurysm,Seizure
Brain aneurysm,A drooping eyelid
Brain aneurysm,Loss of consciousness
Brain aneurysm,Confusion
Thoracic aortic aneurysm,Tenderness or pain in the chest
Thoracic aortic aneurysm,Back pain
Thoracic aortic aneurysm,Hoarseness
Thoracic aortic aneurysm,Cough
Thoracic aortic aneurysm,Shortness of breath
Angelman syndrome,"Developmental delays, including no crawling or babbling at 6 to 12 months"
Angelman syndrome,Intellectual disability
Angelman syndrome,No speech or minimal speech
Angelman syndrome,"Difficulty walking, moving or balancing well"
Angelman syndrome,Frequent smiling and laughter
Angelman syndrome,"Happy, excitable personality"
Angelman syndrome,Trouble going to sleep and staying asleep
Angelman syndrome,"Seizures, usually beginning between 2 and 3 years of age"
Angelman syndrome,Stiff or jerky movements
Angelman syndrome,"Small head size, with flatness in the back of the head"
Angelman syndrome,Tongue thrusting
Angelman syndrome,"Hair, skin and eyes that are light in color"
Angelman syndrome,"Unusual behaviors, such as hand flapping and arms uplifted while walking"
Angelman syndrome,Sleep problems
Vasculitis,Fever
Vasculitis,Headache
Vasculitis,Fatigue
Vasculitis,Weight loss
Vasculitis,General aches and pains
Vasculitis,"Digestive system. If your stomach or intestines are affected, you may experience pain after eating. Ulcers and perforations are possible and may result in blood in the stool."
Vasculitis,"Ears. Dizziness, ringing in the ears and abrupt hearing loss may occur."
Vasculitis,Eyes. Vasculitis can make your eyes look red and itch or burn. Giant cell arteritis can cause double vision and temporary or permanent blindness in one or both eyes. This is sometimes the first sign of the disease.
Vasculitis,Hands or feet. Some types of vasculitis can cause numbness or weakness in a hand or foot. The palms of the hands and soles of the feet might swell or harden.
Vasculitis,Lungs. You may develop shortness of breath or even cough up blood if vasculitis affects your lungs.
Vasculitis,Skin. Bleeding under the skin can show up as red spots. Vasculitis can also cause lumps or open sores on your skin.
Angina,Dizziness
Angina,Fatigue
Angina,Nausea
Angina,Shortness of breath
Angina,Sweating
Hives and angioedema,Reddish
Hives and angioedema,Itchy ranging from mild to intense
Hives and angioedema,"Round, oval or worm-shaped"
Hives and angioedema,As small as a pea or as large as a dinner plate
Angiosarcoma,"A raised, purplish area of skin that looks like a bruise"
Angiosarcoma,A bruise-like lesion that grows larger over time
Angiosarcoma,A lesion that may bleed when scratched or bumped
Angiosarcoma,Swelling in the surrounding skin
Broken ankle,"Immediate, throbbing pain"
Broken ankle,Swelling
Broken ankle,Bruising
Broken ankle,Tenderness
Broken ankle,Deformity
Broken ankle,Difficulty or pain with walking or bearing weight
Tongue-tie (ankyloglossia),Difficulty lifting the tongue to the upper teeth or moving the tongue from side to side
Tongue-tie (ankyloglossia),Trouble sticking out the tongue past the lower front teeth
Tongue-tie (ankyloglossia),A tongue that appears notched or heart shaped when stuck out
Ankylosing spondylitis,The joint between the base of your spine and your pelvis
Ankylosing spondylitis,The vertebrae in your lower back
Ankylosing spondylitis,"The places where your tendons and ligaments attach to bones, mainly in your spine, but sometimes along the back of your heel"
Ankylosing spondylitis,The cartilage between your breastbone and ribs
Ankylosing spondylitis,Your hip and shoulder joints
Anorexia nervosa,Extreme weight loss or not making expected developmental weight gains
Anorexia nervosa,Thin appearance
Anorexia nervosa,Abnormal blood counts
Anorexia nervosa,Fatigue
Anorexia nervosa,Insomnia
Anorexia nervosa,Dizziness or fainting
Anorexia nervosa,Bluish discoloration of the fingers
Anorexia nervosa,"Hair that thins, breaks or falls out"
Anorexia nervosa,"Soft, downy hair covering the body"
Anorexia nervosa,Absence of menstruation
Anorexia nervosa,Constipation and abdominal pain
Anorexia nervosa,Dry or yellowish skin
Anorexia nervosa,Intolerance of cold
Anorexia nervosa,Irregular heart rhythms
Anorexia nervosa,Low blood pressure
Anorexia nervosa,Dehydration
Anorexia nervosa,Swelling of arms or legs
Anorexia nervosa,Eroded teeth and calluses on the knuckles from induced vomiting
Anterior prolapse (cystocele),A feeling of fullness or pressure in your pelvis and vagina
Anterior prolapse (cystocele),"In some cases, a bulge of tissue in your vagina that you can see or feel"
Anterior prolapse (cystocele),"Increased pelvic pressure when you strain, cough, bear down or lift"
Anterior prolapse (cystocele),"Problems urinating, including difficulty starting a urine stream, the feeling that you haven't completely emptied your bladder after urinating, feeling a frequent need to urinate or leaking urine (urinary incontinence)"
Anthrax,"A raised, itchy bump resembling an insect bite that quickly develops into a painless sore with a black center"
Anthrax,Swelling in the sore and nearby lymph glands
Anthrax,"Sometimes, flu-like symptoms including fever and headache"
Pseudomembranous colitis,Watery diarrhea
Pseudomembranous colitis,"Abdominal cramps, pain or tenderness"
Pseudomembranous colitis,Fever
Pseudomembranous colitis,Pus or mucus in your stool
Pseudomembranous colitis,Nausea
Pseudomembranous colitis,Dehydration
Antiphospholipid syndrome,"Blood clots in your legs (DVT). Signs of a DVT include pain, swelling and redness. These clots can travel to your lungs (pulmonary embolism)."
Antiphospholipid syndrome,Repeated miscarriages or stillbirths. Other complications of pregnancy include dangerously high blood pressure (preeclampsia) and premature delivery.
Antiphospholipid syndrome,Stroke. A stroke can occur in a young person who has antiphospholipid syndrome but no known risk factors for cardiovascular diseases.
Antiphospholipid syndrome,"Transient ischemic attack (TIA). Similar to a stroke, a TIA usually lasts only a few minutes and causes no permanent damage."
Antiphospholipid syndrome,"Rash. Some people develop a red rash with a lacy, net-like pattern."
Antiphospholipid syndrome,"Neurological symptoms. Chronic headaches, including migraines; dementia and seizures are possible when a blood clot blocks blood flow to parts of your brain."
Antiphospholipid syndrome,Cardiovascular disease. Antiphospholipid syndrome can damage heart valves.
Antiphospholipid syndrome,"Bleeding. Some people have a decrease in blood cells needed for clotting. This can cause episodes of bleeding, particularly from your nose and gums. You can also bleed into your skin, which will appear as patches of small red spots."
Antisocial personality disorder,Disregard for right and wrong
Antisocial personality disorder,Persistent lying or deceit to exploit others
Antisocial personality disorder,"Being callous, cynical and disrespectful of others"
Antisocial personality disorder,Using charm or wit to manipulate others for personal gain or personal pleasure
Antisocial personality disorder,"Arrogance, a sense of superiority and being extremely opinionated"
Antisocial personality disorder,"Recurring problems with the law, including criminal behavior"
Antisocial personality disorder,Repeatedly violating the rights of others through intimidation and dishonesty
Antisocial personality disorder,Impulsiveness or failure to plan ahead
Antisocial personality disorder,"Hostility, significant irritability, agitation, aggression or violence"
Antisocial personality disorder,Lack of empathy for others and lack of remorse about harming others
Antisocial personality disorder,Unnecessary risk-taking or dangerous behavior with no regard for the safety of self or others
Antisocial personality disorder,Poor or abusive relationships
Antisocial personality disorder,Failure to consider the negative consequences of behavior or learn from them
Antisocial personality disorder,Being consistently irresponsible and repeatedly failing to fulfill work or financial obligations
Antisocial personality disorder,Aggression toward people and animals
Antisocial personality disorder,Destruction of property
Antisocial personality disorder,Deceitfulness
Antisocial personality disorder,Theft
Antisocial personality disorder,Serious violation of rules
Anxiety disorders,"Feeling nervous, restless or tense"
Anxiety disorders,"Having a sense of impending danger, panic or doom"
Anxiety disorders,Having an increased heart rate
Anxiety disorders,Breathing rapidly (hyperventilation)
Anxiety disorders,Sweating
Anxiety disorders,Trembling
Anxiety disorders,Feeling weak or tired
Anxiety disorders,Trouble concentrating or thinking about anything other than the present worry
Anxiety disorders,Having trouble sleeping
Anxiety disorders,Experiencing gastrointestinal (GI) problems
Anxiety disorders,Having difficulty controlling worry
Anxiety disorders,Having the urge to avoid things that trigger anxiety
Anxiety disorders,"Agoraphobia (ag-uh-ruh-FOE-be-uh) is a type of anxiety disorder in which you fear and often avoid places or situations that might cause you to panic and make you feel trapped, helpless or embarrassed."
Anxiety disorders,Anxiety disorder due to a medical condition includes symptoms of intense anxiety or panic that are directly caused by a physical health problem.
Anxiety disorders,"Generalized anxiety disorder includes persistent and excessive anxiety and worry about activities or events — even ordinary, routine issues. The worry is out of proportion to the actual circumstance, is difficult to control and affects how you feel physically. It often occurs along with other anxiety disorders or depression."
Anxiety disorders,"Panic disorder involves repeated episodes of sudden feelings of intense anxiety and fear or terror that reach a peak within minutes (panic attacks). You may have feelings of impending doom, shortness of breath, chest pain, or a rapid, fluttering or pounding heart (heart palpitations). These panic attacks may lead to worrying about them happening again or avoiding situations in which they've occurred."
